,id,conclusion,uncertainty,n_experiments,proportion_edges,variation_method,degree_average,degree_gini,clustering_average,n_isolates
0,0,0.7211538461538461,0.0001665910754372,734,0.2481893850345058,equalize,1.868589743589744,0.5837346615648502,0.1200375464650519,11
1,1,0.8493589743589743,0.000386201416115,383,0.2243178422767269,equalize,1.868589743589744,0.5948618991071821,0.1137327758716088,17
2,2,0.7756410256410257,0.0005721234459126,600,0.1195614595120267,equalize,1.868589743589744,0.619700268285174,0.1198567865292634,6
3,3,0.8141025641025641,0.0007388921599571,996,0.2385333970933041,equalize,1.868589743589744,0.5928937414786472,0.1214977720837688,11
4,4,0.7852564102564102,0.0005840560518959,990,0.0281634102317398,equalize,1.868589743589744,0.6538076703171043,0.1191520611106914,2
5,5,0.7756410256410257,0.0009085898790928,900,0.0028767649574199,equalize,1.868589743589744,0.6572162114614946,0.1196523017164633,1
6,6,0.8525641025641025,0.0006399964837458,737,0.2893424950332831,equalize,1.868589743589744,0.5807659321810266,0.1206251138371067,11
7,7,0.8269230769230769,0.000564422183549,572,0.2417412145863887,equalize,1.868589743589744,0.5990840920086203,0.1197615087321956,15
8,8,0.7596153846153846,0.0002795350376264,990,0.2960187554178147,equalize,1.868589743589744,0.5788637463165766,0.1203887536306811,14
9,9,0.8269230769230769,0.0005709703988497,583,0.2775444339035566,equalize,1.868589743589744,0.5853729603729604,0.1176232307161983,10
10,10,0.8461538461538461,0.0008115772132421,410,0.2879482763337976,equalize,1.868589743589744,0.6070226942868453,0.119363671124434,12
11,11,0.7916666666666666,0.0009134835609952,748,0.179487922462117,equalize,1.868589743589744,0.5981275014293882,0.1200326976717467,12
12,12,0.782051282051282,0.0006285068938185,340,0.1331913961051012,equalize,1.868589743589744,0.6201180894577121,0.1192595488984865,13
13,13,0.8333333333333334,0.0005330689734146,454,0.2063356401992803,equalize,1.868589743589744,0.5834707745085103,0.1209170832648107,10
14,14,0.8525641025641025,0.0008595775700523,331,0.1953745948584489,equalize,1.868589743589744,0.5990511061265779,0.1201785275778656,9
15,15,0.8173076923076923,0.0009721373069548,585,0.1198485610485637,equalize,1.868589743589744,0.6265613317500109,0.1200893512022644,8
16,16,0.7948717948717948,0.0007658454304225,774,0.0219687513501652,equalize,1.868589743589744,0.6489917315389013,0.1190859968266843,3
17,17,0.7884615384615384,0.0008464039718285,120,0.1098511550226039,equalize,1.868589743589744,0.6275948893873422,0.1219901078175333,8
18,18,0.6474358974358975,0.0002769422100928,497,0.2083870663664987,equalize,1.868589743589744,0.6150822447992259,0.1195872826155547,13
19,19,0.7724358974358975,0.0007105180354937,993,0.1424342227669258,equalize,1.868589743589744,0.6273200070369882,0.1202936720061164,10
20,20,0.7692307692307693,0.0006317814796612,600,0.0270695562910027,equalize,1.868589743589744,0.6463968421515591,0.1198273519091598,1
21,21,0.6730769230769231,0.0002789811998744,576,0.0412142811270641,equalize,1.868589743589744,0.6445496327571799,0.1213645925805236,2
22,22,0.6698717948717948,0.0003653257010979,365,0.0362253748708202,equalize,1.868589743589744,0.6439009104103444,0.1223782805452738,5
23,23,0.8076923076923077,0.0009009532800081,267,0.2964233931364295,equalize,1.868589743589744,0.5904747767955315,0.1199211564117552,16
24,24,0.7371794871794872,0.0005170184296937,901,0.0143030240735397,equalize,1.868589743589744,0.6528950609139289,0.1202603449657592,3
25,25,0.8621794871794872,0.0008073620838091,367,0.1570658859507138,equalize,1.868589743589744,0.6134439459911158,0.1208956976929266,4
26,26,0.7628205128205128,0.0003918167437188,492,0.2159051616994999,equalize,1.868589743589744,0.5847572239081673,0.1209558638089969,13
27,27,0.8525641025641025,0.0008457964141877,890,0.0333298225591789,equalize,1.868589743589744,0.6525212209174474,0.1198204285006,3
28,28,0.7628205128205128,0.0007365178248339,489,0.0388716655064649,equalize,1.868589743589744,0.6438239433522452,0.1196704890120161,2
29,29,0.8237179487179487,0.0006017578051097,508,0.1545591630925912,equalize,1.868589743589744,0.6093646919118617,0.1202458697706883,11
30,30,0.6378205128205128,0.0003089574023946,217,0.0670247871979621,equalize,1.868589743589744,0.6349397457888024,0.1198328115714924,6
31,31,0.7980769230769231,0.0008250765783463,347,0.0779390314771108,equalize,1.868589743589744,0.6371717904736772,0.1207001960142092,5
32,32,0.782051282051282,0.0007429966818842,436,0.0459221887719189,equalize,1.868589743589744,0.644692571579364,0.1198703986161616,2
33,33,0.8557692307692307,0.0008035965397299,688,0.3301316276205497,equalize,1.868589743589744,0.5684072217091085,0.1200526131877574,18
34,34,0.8012820512820513,0.0009853389430433,522,0.0244878427567839,equalize,1.868589743589744,0.647540352729032,0.1224852192646197,2
35,35,0.7435897435897436,0.0004177723596608,861,0.0443424650589341,equalize,1.868589743589744,0.6478922021374851,0.1207420508668872,5
36,36,0.8044871794871795,0.0006855807064606,361,0.2709937467219392,equalize,1.868589743589744,0.5788417557285482,0.1210082823290525,17
37,37,0.8012820512820513,0.0009106348035582,464,0.0749125669573843,equalize,1.868589743589744,0.6279797246778379,0.1219118844515636,3
38,38,0.8205128205128205,0.0005781278854358,250,0.2844614988767337,equalize,1.868589743589744,0.6024376566829397,0.1199213587542043,18
39,39,0.7467948717948718,0.0001089121401105,858,0.2319023742069459,equalize,1.868589743589744,0.6021407837445574,0.11953483344131,16
40,40,0.8141025641025641,0.0003842287676717,358,0.2634445613456632,equalize,1.868589743589744,0.6089798566213661,0.1196349472841052,16
41,41,0.7884615384615384,0.0007209990155915,560,0.071904710870598,equalize,1.868589743589744,0.6294311034877074,0.1211779140997082,6
42,42,0.8461538461538461,0.0006616044939427,224,0.3095128418817853,equalize,1.868589743589744,0.5869892685930421,0.1187300226770696,18
43,43,0.6025641025641025,0.0002610841905527,484,0.0817453794703635,equalize,1.868589743589744,0.6444946562871091,0.1201136966310259,5
44,44,0.7948717948717948,0.0009561607247092,379,0.2113473990155603,equalize,1.868589743589744,0.5980725249593174,0.121661747444724,17
45,45,0.5769230769230769,0.0001872101259984,296,0.1752407487049865,equalize,1.868589743589744,0.5959504332145842,0.1196504966733153,9
46,46,0.8205128205128205,0.0003286799292624,700,0.2018189361935,equalize,1.868589743589744,0.5964122355631789,0.1198920168380066,16
47,47,0.8333333333333334,0.0009545729780157,633,0.214929633065281,equalize,1.868589743589744,0.6070446848748735,0.1200970241507174,14
48,48,0.8333333333333334,0.0009838124042196,730,0.1680484091444185,equalize,1.868589743589744,0.5864175133043057,0.1205267011521986,10
49,49,0.8846153846153846,0.0006105862558781,748,0.3240571597352653,equalize,1.868589743589744,0.5805130404187009,0.1188051708917933,18
50,50,0.6506410256410257,0.0001351498563896,164,0.1562088052024239,equalize,1.868589743589744,0.6145764612745744,0.1201587147983739,6
51,51,0.75,0.00065844739232,396,0.2062825397351649,equalize,1.868589743589744,0.6128721907023794,0.1203563476440635,10
52,52,0.8685897435897436,0.000762625653712,742,0.3196335011063567,equalize,1.868589743589744,0.5851530544926771,0.1208858013404751,22
53,53,0.8333333333333334,0.0005352387977032,532,0.3303460945221546,equalize,1.868589743589744,0.5705842899239126,0.1205790254268939,21
54,54,0.7275641025641025,0.0006235727219796,178,0.063745617835009,equalize,1.868589743589744,0.6371937810617055,0.1211729295732371,7
55,55,0.7115384615384616,0.0006901823219993,636,0.020743339194025,equalize,1.868589743589744,0.6514876632801161,0.1198987027380831,1
56,56,0.5128205128205128,0.0001392076492891,111,0.0006315830447254,equalize,1.868589743589744,0.655896776179795,0.1196094694126016,0
57,57,0.7628205128205128,0.0005719745478484,190,0.1811170871089156,equalize,1.868589743589744,0.5990730967146062,0.1209070723902214,10
58,58,0.7948717948717948,0.0001198883626617,703,0.2702623193401972,equalize,1.868589743589744,0.590716673263843,0.1188004004850816,19
59,59,0.717948717948718,0.0008031538225744,942,0.0377525680437327,equalize,1.868589743589744,0.6417788186656112,0.1204202863323613,6
60,60,0.6602564102564102,0.0002793988039593,201,0.1360713609601458,equalize,1.868589743589744,0.6058242072393016,0.1195640222138134,8
61,61,0.7724358974358975,0.0004190304137739,432,0.2815286134511556,equalize,1.868589743589744,0.5872091744733253,0.1195499774123883,15
62,62,0.7467948717948718,0.0005061553231899,284,0.2036799531469262,equalize,1.868589743589744,0.5969949861459296,0.1196897493909715,15
