,id,conclusion,uncertainty,n_experiments,proportion_edges,variation_method,degree_average,degree_gini,clustering_average,n_isolates
0,0,0.8301282051282052,0.0006549438865713279,236,0.3169195967448088,equalize,1.8685897435897436,0.5981604873114307,0.1210689173251193,16
1,1,0.7083333333333334,0.0004039645248013263,352,0.20778864581022316,equalize,1.8685897435897436,0.6054063860667634,0.12009626106902942,15
2,2,0.8141025641025641,0.0005372796599819521,979,0.2482481464708874,equalize,1.8685897435897436,0.5993699696529885,0.11940594164577611,12
3,3,0.7692307692307693,0.0008622910503217512,449,0.1443846392272953,equalize,1.8685897435897436,0.612102520121388,0.1187759931366733,9
4,4,0.8269230769230769,0.0008042015276470803,638,0.2902953910093624,equalize,1.8685897435897436,0.5722665699080793,0.11975945186473552,14
5,5,0.8076923076923077,0.0006161456434137375,543,0.1965160019631003,equalize,1.8685897435897436,0.5966211461494481,0.11957312080040107,9
6,6,0.7692307692307693,0.00037682510045825447,395,0.23004584588827098,equalize,1.8685897435897436,0.6218333553239214,0.12080787700975047,16
7,7,0.8141025641025641,0.0008601527185035227,591,0.02880109000568054,equalize,1.8685897435897436,0.6474413950829045,0.11977878495828684,2
8,8,0.8044871794871795,0.0005714292645105382,547,0.2186174447719606,equalize,1.8685897435897436,0.5757410828165545,0.11963626246219483,17
9,9,0.7724358974358975,0.0003135996388634353,411,0.29503603013015856,equalize,1.8685897435897436,0.5993589743589743,0.11805096284385595,19
10,10,0.7980769230769231,0.0003451218664016963,593,0.25771853952915424,equalize,1.8685897435897436,0.5930916567709021,0.12114219913237939,12
11,11,0.7596153846153846,0.0008668967240487987,191,0.11241363524120385,equalize,1.8685897435897436,0.6268801952764217,0.12133039726317679,6
12,12,0.8365384615384616,0.000590505870615548,931,0.22431339440465262,equalize,1.8685897435897436,0.5989961296565071,0.11954912005153509,10
13,13,0.8076923076923077,0.0003959058235038753,651,0.3076685022872287,equalize,1.8685897435897436,0.602657562563223,0.12060096313111283,21
14,14,0.7916666666666666,0.0008179573873806302,130,0.09324263535439839,equalize,1.8685897435897436,0.6391069622201697,0.11989195234263804,7
15,15,0.6794871794871795,0.00020461190473254276,217,0.2291254532397712,equalize,1.8685897435897436,0.6011292166952545,0.11909032814445702,15
16,16,0.7371794871794872,0.0009377514979719274,239,0.0578069093080545,equalize,1.8685897435897436,0.6481890750758675,0.11971446790142079,9
17,17,0.6891025641025641,0.000707798255719463,63,0.17666815023393895,equalize,1.8685897435897436,0.6176111624224833,0.11977445926109717,15
18,18,0.7756410256410257,0.0006665484421631278,816,0.25164283160196965,equalize,1.8685897435897436,0.60584619782733,0.12012582008460193,13
19,19,0.7692307692307693,0.0006860289299006917,973,0.18614902813330209,equalize,1.8685897435897436,0.6095736024981309,0.11764920608482073,10
20,20,0.8205128205128205,0.0008902874638300205,183,0.2006393077832162,equalize,1.8685897435897436,0.6038340590227382,0.11937628324544079,8
21,21,0.6987179487179487,0.0005484007783515798,54,0.30900603842062596,equalize,1.8685897435897436,0.569396798170383,0.11980533198580307,17
22,22,0.8621794871794872,0.0007920072004279124,668,0.1368100698757535,equalize,1.8685897435897436,0.6201180894577121,0.12485922725186008,11
23,23,0.8685897435897436,0.0008498653960510201,716,0.2656459173790439,equalize,1.8685897435897436,0.5882977085807274,0.12047338660514526,14
24,24,0.8205128205128205,0.0009977265786607597,132,0.24000920531824926,equalize,1.8685897435897436,0.6062090425297972,0.11951273305781718,11
25,25,0.7435897435897436,0.0004703383225981102,510,0.25778597708323925,equalize,1.8685897435897436,0.5796883933676387,0.11839968377079768,16
26,26,0.8461538461538461,0.0006360938347388187,352,0.13295991958907288,equalize,1.8685897435897436,0.6189855741742534,0.12478906189922465,11
27,27,0.6987179487179487,0.0001898167426169621,550,0.23431217942367058,equalize,1.8685897435897436,0.5935424638254827,0.12092879803598154,11
28,28,0.532051282051282,0.00018533255209691855,79,0.21017639926469334,equalize,1.8685897435897436,0.602866473149492,0.11988402720396675,9
29,29,0.8653846153846154,0.0007719004602841842,470,0.21646540647861862,equalize,1.8685897435897436,0.5986662708360821,0.12088955909405999,18
30,30,0.6666666666666666,0.00032099155528781233,379,0.13663338407545214,equalize,1.8685897435897436,0.6306625764172934,0.11881347719345975,5
31,31,0.8461538461538461,0.0009395747347043294,828,0.018201682350360383,equalize,1.8685897435897436,0.6538516514931609,0.12000804979958915,2
32,32,0.8365384615384616,0.0008159394214695885,507,0.16573538655949388,equalize,1.8685897435897436,0.6152141883273958,0.12029362791780752,9
33,33,0.7371794871794872,0.0007113472192983651,680,0.0421844952033182,equalize,1.8685897435897436,0.6572052161674804,0.12014752592416361,1
34,34,0.7628205128205128,0.00024289576047956243,639,0.19338883870793036,equalize,1.8685897435897436,0.6082871530984738,0.12092345866640795,9
35,35,0.8717948717948718,0.0007613240994387826,657,0.31078861622733484,equalize,1.8685897435897436,0.5678354664203721,0.1221425579548911,22
36,36,0.8173076923076923,0.0007068369544732628,958,0.3084929099535275,equalize,1.8685897435897436,0.5988861767163655,0.12002263384515195,21
37,37,0.7692307692307693,0.0006623129925545695,94,0.015933531294438603,equalize,1.8685897435897436,0.6516525926903285,0.12017680668096394,1
38,38,0.8269230769230769,0.0006441382723097308,531,0.25702800821155786,equalize,1.8685897435897436,0.6039989884329506,0.11912064117693966,24
39,39,0.8173076923076923,0.0009454758862193802,689,0.02477128609359765,equalize,1.8685897435897436,0.6570952632273387,0.12122960083665874,3
40,40,0.8237179487179487,0.0009579286567627462,311,0.14628908650321815,equalize,1.8685897435897436,0.640679289264195,0.12043642384042372,13
