n_agents,shape,conclusion,steps
10,wheel,1.0,377
10,complete,1.0,105
5,cycle,1.0,223
5,wheel,1.0,233
5,complete,0.0,6
6,cycle,1.0,259
6,wheel,0.0,44
6,complete,1.0,226
7,cycle,1.0,317
7,wheel,0.0,2
7,complete,1.0,120
8,cycle,1.0,505
8,wheel,1.0,226
8,complete,1.0,156
9,cycle,1.0,1123
9,wheel,1.0,243
9,complete,1.0,76
10,cycle,1.0,1934
10,wheel,1.0,536
10,complete,1.0,47
5,cycle,0.0,1
5,wheel,1.0,75
5,complete,1.0,100
6,cycle,1.0,364
6,wheel,1.0,875
6,complete,1.0,167
7,cycle,0.0,6
7,wheel,1.0,292
7,complete,1.0,85
8,cycle,1.0,327
8,wheel,1.0,495
8,complete,0.0,88
9,cycle,1.0,729
9,wheel,1.0,352
9,complete,1.0,47
10,cycle,0.0,30
10,wheel,1.0,177
10,complete,0.0,93
5,cycle,0.0,59
5,wheel,1.0,104
5,complete,1.0,152
6,cycle,1.0,565
6,wheel,1.0,181
6,complete,1.0,167
7,cycle,1.0,291
7,wheel,1.0,219
7,complete,1.0,119
8,cycle,1.0,326
8,wheel,1.0,262
8,complete,1.0,280
9,cycle,1.0,802
9,wheel,1.0,356
9,complete,1.0,268
10,cycle,0.0,1
10,wheel,1.0,479
10,complete,0.0,48
5,cycle,1.0,1376
5,wheel,0.0,73
5,complete,1.0,584
6,cycle,0.0,61
6,wheel,1.0,261
6,complete,1.0,242
7,cycle,1.0,372
7,wheel,1.0,211
7,complete,1.0,212
8,cycle,1.0,769
8,wheel,1.0,545
8,complete,1.0,148
9,cycle,1.0,567
9,wheel,1.0,538
9,complete,1.0,86
10,cycle,1.0,821
10,wheel,1.0,135
10,complete,1.0,90
5,cycle,0.0,39
5,wheel,1.0,135
5,complete,1.0,75
6,cycle,1.0,125
6,wheel,0.0,68
6,complete,1.0,75
7,cycle,1.0,201
7,wheel,1.0,631
7,complete,1.0,78
8,cycle,1.0,674
8,wheel,1.0,188
8,complete,1.0,151
9,cycle,1.0,1490
9,wheel,1.0,180
9,complete,1.0,196
10,cycle,1.0,506
10,wheel,1.0,322
10,complete,1.0,65
5,cycle,1.0,235
5,wheel,1.0,165
5,complete,1.0,297
6,cycle,1.0,178
6,wheel,1.0,244
6,complete,1.0,92
7,cycle,1.0,441
7,wheel,1.0,176
7,complete,1.0,464
8,cycle,1.0,632
8,wheel,1.0,640
8,complete,1.0,55
9,cycle,1.0,715
9,wheel,1.0,383
9,complete,1.0,175
10,cycle,1.0,346
10,wheel,0.0,101
10,complete,1.0,31
5,cycle,0.0,10
5,wheel,1.0,536
5,complete,1.0,89
6,cycle,0.0,3
6,wheel,1.0,560
6,complete,1.0,65
7,cycle,1.0,994
7,wheel,1.0,641
7,complete,1.0,133
8,cycle,1.0,322
8,wheel,1.0,230
8,complete,1.0,129
9,cycle,1.0,1056
9,wheel,1.0,177
9,complete,1.0,124
10,cycle,1.0,1994
10,wheel,1.0,819
10,complete,1.0,102
5,cycle,1.0,464
5,wheel,1.0,259
5,complete,1.0,439
6,cycle,1.0,553
6,wheel,1.0,372
6,complete,1.0,67
7,cycle,1.0,694
7,wheel,1.0,306
7,complete,0.0,20
8,cycle,1.0,312
8,wheel,1.0,507
8,complete,1.0,168
9,cycle,1.0,1729
9,wheel,1.0,567
9,complete,1.0,104
10,cycle,1.0,1275
10,wheel,1.0,452
10,complete,1.0,183
5,cycle,1.0,523
5,wheel,1.0,202
5,complete,0.0,7
6,cycle,1.0,300
6,wheel,1.0,246
6,complete,1.0,519
7,cycle,1.0,597
7,wheel,0.0,190
7,complete,1.0,402
8,cycle,1.0,2270
8,wheel,1.0,104
8,complete,1.0,213
9,cycle,1.0,425
9,wheel,1.0,281
9,complete,0.0,13
10,cycle,1.0,553
10,wheel,1.0,201
10,complete,1.0,206
5,cycle,0.0,9
5,wheel,1.0,225
5,complete,1.0,338
6,cycle,1.0,455
6,wheel,1.0,216
6,complete,1.0,464
7,cycle,1.0,1279
7,wheel,1.0,281
7,complete,1.0,43
8,cycle,1.0,628
8,wheel,1.0,426
8,complete,1.0,146
9,cycle,1.0,1234
9,wheel,1.0,314
9,complete,0.0,16
10,cycle,1.0,342
10,wheel,0.0,29
10,complete,1.0,83
5,cycle,1.0,210
5,wheel,1.0,620
5,complete,1.0,339
6,cycle,1.0,341
6,wheel,0.0,49
6,complete,1.0,151
7,cycle,1.0,657
7,wheel,0.0,217
7,complete,1.0,305
8,cycle,0.0,449
8,wheel,1.0,328
8,complete,1.0,168
9,cycle,1.0,1702
9,wheel,1.0,284
9,complete,1.0,86
10,cycle,1.0,507
10,wheel,1.0,506
10,complete,1.0,188
5,cycle,1.0,231
5,wheel,1.0,417
5,complete,1.0,248
6,cycle,1.0,239
6,wheel,1.0,334
6,complete,0.0,200
7,cycle,1.0,860
7,wheel,1.0,388
7,complete,1.0,246
8,cycle,1.0,2231
8,wheel,1.0,418
8,complete,0.0,12
9,cycle,1.0,1149
9,wheel,1.0,308
9,complete,1.0,98
10,cycle,1.0,870
10,wheel,1.0,188
10,complete,0.0,101
5,cycle,1.0,440
5,wheel,0.0,25
5,complete,1.0,184
6,cycle,0.0,50
6,wheel,1.0,546
6,complete,1.0,138
7,cycle,1.0,980
7,wheel,0.0,1
7,complete,1.0,55
8,cycle,1.0,508
8,wheel,1.0,341
8,complete,1.0,75
9,cycle,1.0,511
9,wheel,1.0,529
9,complete,1.0,145
10,cycle,1.0,2105
10,wheel,1.0,198
10,complete,0.0,96
5,cycle,1.0,537
5,wheel,0.0,24
5,complete,1.0,165
6,cycle,1.0,193
6,wheel,1.0,652
6,complete,1.0,42
7,cycle,1.0,842
7,wheel,0.0,29
7,complete,1.0,81
8,cycle,1.0,805
8,wheel,1.0,854
8,complete,0.0,35
9,cycle,1.0,495
9,wheel,1.0,388
9,complete,0.0,83
10,cycle,1.0,992
10,wheel,1.0,588
10,complete,1.0,147
5,cycle,1.0,783
5,wheel,1.0,279
5,complete,1.0,86
6,cycle,1.0,328
6,wheel,1.0,70
6,complete,1.0,104
7,cycle,1.0,1217
7,wheel,1.0,660
7,complete,1.0,115
8,cycle,1.0,826
8,wheel,1.0,359
8,complete,1.0,128
9,cycle,1.0,1672
9,wheel,1.0,750
9,complete,1.0,213
10,cycle,1.0,328
10,wheel,1.0,311
10,complete,1.0,129
5,cycle,1.0,209
5,wheel,1.0,274
5,complete,1.0,132
6,cycle,0.0,9
6,wheel,0.0,80
6,complete,0.0,27
7,cycle,1.0,287
7,wheel,1.0,259
7,complete,1.0,184
8,cycle,1.0,439
8,wheel,1.0,467
8,complete,1.0,147
9,cycle,1.0,472
9,wheel,1.0,235
9,complete,1.0,179
10,cycle,1.0,932
10,wheel,1.0,536
10,complete,1.0,117
5,cycle,1.0,150
5,wheel,1.0,199
5,complete,1.0,167
6,cycle,1.0,152
6,wheel,1.0,530
6,complete,1.0,58
7,cycle,1.0,353
7,wheel,1.0,157
7,complete,1.0,97
8,cycle,1.0,889
8,wheel,1.0,660
8,complete,1.0,205
9,cycle,1.0,1108
9,wheel,1.0,415
9,complete,1.0,233
10,cycle,1.0,499
10,wheel,1.0,474
10,complete,1.0,213
5,cycle,0.0,12
5,wheel,1.0,391
5,complete,1.0,166
6,cycle,1.0,1303
6,wheel,1.0,247
6,complete,1.0,92
7,cycle,1.0,546
7,wheel,1.0,1138
7,complete,1.0,107
8,cycle,1.0,985
8,wheel,1.0,1045
8,complete,1.0,92
9,cycle,1.0,841
9,wheel,1.0,477
9,complete,1.0,106
10,cycle,1.0,450
10,wheel,1.0,135
10,complete,1.0,28
5,cycle,1.0,1216
5,wheel,1.0,258
5,complete,1.0,92
6,cycle,1.0,347
6,wheel,0.0,1
6,complete,1.0,167
7,cycle,1.0,1055
7,wheel,1.0,1166
7,complete,1.0,463
8,cycle,1.0,317
8,wheel,1.0,311
8,complete,0.0,63
9,cycle,1.0,586
9,wheel,1.0,1146
9,complete,1.0,80
10,cycle,1.0,586
10,wheel,1.0,354
10,complete,1.0,108
5,cycle,1.0,294
5,wheel,1.0,251
5,complete,1.0,116
6,cycle,0.0,96
6,wheel,1.0,265
6,complete,1.0,314
7,cycle,1.0,807
7,wheel,0.0,29
7,complete,1.0,418
8,cycle,1.0,767
8,wheel,1.0,395
8,complete,1.0,86
9,cycle,1.0,599
9,wheel,1.0,412
9,complete,1.0,40
10,cycle,1.0,467
10,wheel,1.0,401
10,complete,1.0,128
5,cycle,0.0,123
5,wheel,1.0,641
5,complete,1.0,337
6,cycle,1.0,494
6,wheel,1.0,278
6,complete,1.0,635
7,cycle,1.0,672
7,wheel,1.0,1162
7,complete,1.0,164
8,cycle,1.0,160
8,wheel,1.0,214
8,complete,0.0,198
9,cycle,0.0,80
9,wheel,1.0,285
9,complete,1.0,63
10,cycle,1.0,567
10,wheel,1.0,403
10,complete,1.0,178
5,cycle,1.0,167
5,wheel,1.0,279
5,complete,1.0,180
6,cycle,1.0,243
6,wheel,1.0,269
6,complete,0.0,5
7,cycle,1.0,1066
7,wheel,1.0,342
7,complete,1.0,124
8,cycle,1.0,765
8,wheel,1.0,1897
8,complete,1.0,117
9,cycle,0.0,24
9,wheel,1.0,438
9,complete,1.0,119
10,cycle,1.0,961
10,wheel,1.0,1452
10,complete,1.0,146
5,cycle,1.0,130
5,wheel,0.0,239
5,complete,1.0,174
6,cycle,0.0,9
6,wheel,0.0,1
6,complete,1.0,46
7,cycle,1.0,140
7,wheel,1.0,142
7,complete,1.0,155
8,cycle,1.0,525
8,wheel,1.0,480
8,complete,1.0,106
9,cycle,1.0,796
9,wheel,0.0,76
9,complete,1.0,147
10,cycle,1.0,422
10,wheel,1.0,1375
10,complete,0.0,20
5,cycle,1.0,243
5,wheel,1.0,133
5,complete,1.0,144
6,cycle,1.0,175
6,wheel,1.0,361
6,complete,1.0,857
7,cycle,1.0,720
7,wheel,1.0,199
7,complete,1.0,143
8,cycle,0.0,23
8,wheel,1.0,188
8,complete,1.0,71
9,cycle,1.0,503
9,wheel,1.0,647
9,complete,0.0,89
10,cycle,1.0,1525
10,wheel,1.0,276
10,complete,1.0,417
5,cycle,1.0,174
5,wheel,1.0,288
5,complete,1.0,163
6,cycle,1.0,442
6,wheel,1.0,648
6,complete,1.0,190
7,cycle,1.0,832
7,wheel,1.0,245
7,complete,1.0,97
8,cycle,1.0,351
8,wheel,1.0,541
8,complete,1.0,128
9,cycle,1.0,1928
9,wheel,1.0,216
9,complete,1.0,113
10,cycle,0.0,250
10,wheel,1.0,419
10,complete,1.0,60
5,cycle,1.0,194
5,wheel,1.0,305
5,complete,0.0,1
6,cycle,1.0,470
6,wheel,1.0,295
6,complete,0.0,60
7,cycle,1.0,996
7,wheel,1.0,203
7,complete,1.0,75
8,cycle,1.0,615
8,wheel,1.0,160
8,complete,1.0,71
9,cycle,1.0,904
9,wheel,1.0,449
9,complete,1.0,130
10,cycle,1.0,972
10,wheel,1.0,334
10,complete,1.0,82
5,cycle,1.0,194
5,wheel,1.0,121
5,complete,1.0,29
6,cycle,1.0,717
6,wheel,0.0,5
6,complete,1.0,199
7,cycle,1.0,491
7,wheel,1.0,209
7,complete,1.0,357
8,cycle,0.0,52
8,wheel,1.0,292
8,complete,1.0,109
9,cycle,0.0,51
9,wheel,1.0,338
9,complete,1.0,93
10,cycle,1.0,602
10,wheel,1.0,460
10,complete,1.0,210
5,cycle,0.0,7
5,wheel,1.0,195
5,complete,1.0,287
6,cycle,1.0,241
6,wheel,0.0,19
6,complete,1.0,330
7,cycle,1.0,703
7,wheel,1.0,560
7,complete,1.0,225
8,cycle,1.0,365
8,wheel,1.0,158
8,complete,1.0,70
9,cycle,1.0,354
9,wheel,1.0,437
9,complete,1.0,246
10,cycle,1.0,468
10,wheel,0.0,74
10,complete,1.0,184
5,cycle,1.0,230
5,wheel,1.0,121
5,complete,1.0,280
6,cycle,1.0,729
6,wheel,1.0,210
6,complete,1.0,83
7,cycle,1.0,1317
7,wheel,1.0,733
7,complete,1.0,110
8,cycle,1.0,900
8,wheel,1.0,802
8,complete,1.0,80
9,cycle,1.0,1264
9,wheel,1.0,581
9,complete,1.0,32
10,cycle,1.0,625
10,wheel,1.0,580
10,complete,1.0,107
5,cycle,1.0,76
5,wheel,1.0,232
5,complete,1.0,255
6,cycle,1.0,629
6,wheel,1.0,110
6,complete,1.0,185
7,cycle,1.0,732
7,wheel,1.0,244
7,complete,1.0,114
8,cycle,1.0,384
8,wheel,0.0,36
8,complete,0.0,3
9,cycle,1.0,859
9,wheel,1.0,171
9,complete,1.0,144
10,cycle,1.0,1482
10,wheel,1.0,287
10,complete,1.0,419
5,cycle,1.0,363
5,wheel,1.0,370
5,complete,1.0,161
6,cycle,1.0,339
6,wheel,1.0,679
6,complete,1.0,130
7,cycle,1.0,733
7,wheel,1.0,485
7,complete,1.0,217
8,cycle,1.0,294
8,wheel,1.0,800
8,complete,1.0,207
9,cycle,1.0,464
9,wheel,1.0,374
9,complete,1.0,144
10,cycle,1.0,872
10,wheel,1.0,419
10,complete,1.0,168
5,cycle,1.0,183
5,wheel,1.0,366
5,complete,1.0,132
6,cycle,1.0,402
6,wheel,0.0,13
6,complete,1.0,269
7,cycle,1.0,267
7,wheel,1.0,121
7,complete,1.0,133
8,cycle,1.0,936
8,wheel,1.0,424
8,complete,0.0,36
9,cycle,1.0,325
9,wheel,1.0,478
9,complete,0.0,43
10,cycle,1.0,1354
10,wheel,1.0,181
10,complete,1.0,79
5,cycle,0.0,102
5,wheel,0.0,1
5,complete,1.0,125
6,cycle,1.0,396
6,wheel,0.0,186
6,complete,1.0,106
7,cycle,1.0,339
7,wheel,1.0,214
7,complete,1.0,145
8,cycle,1.0,362
8,wheel,1.0,135
8,complete,1.0,275
9,cycle,1.0,915
9,wheel,1.0,694
9,complete,1.0,389
10,cycle,1.0,249
10,wheel,0.0,137
10,complete,1.0,141
5,cycle,1.0,1303
5,wheel,1.0,213
5,complete,1.0,183
6,cycle,1.0,325
6,wheel,1.0,240
6,complete,1.0,89
7,cycle,1.0,445
7,wheel,1.0,192
7,complete,1.0,263
8,cycle,1.0,151
8,wheel,1.0,192
8,complete,1.0,123
9,cycle,1.0,767
9,wheel,1.0,362
9,complete,1.0,115
10,cycle,1.0,586
10,wheel,1.0,303
10,complete,0.0,37
5,cycle,1.0,340
5,wheel,1.0,187
5,complete,1.0,263
6,cycle,1.0,464
6,wheel,1.0,273
6,complete,1.0,149
7,cycle,1.0,751
7,wheel,1.0,205
7,complete,1.0,77
8,cycle,1.0,798
8,wheel,1.0,123
8,complete,1.0,144
9,cycle,1.0,1089
9,wheel,1.0,165
9,complete,1.0,122
10,cycle,1.0,620
10,wheel,1.0,430
10,complete,0.0,5
5,cycle,1.0,864
5,wheel,1.0,277
5,complete,1.0,176
6,cycle,1.0,253
6,wheel,0.0,234
6,complete,0.0,92
7,cycle,1.0,1859
7,wheel,1.0,80
7,complete,1.0,77
8,cycle,1.0,1139
8,wheel,1.0,344
8,complete,1.0,291
9,cycle,1.0,1177
9,wheel,1.0,605
9,complete,1.0,104
10,cycle,1.0,692
10,wheel,1.0,468
10,complete,1.0,276
5,cycle,0.0,49
5,wheel,1.0,173
5,complete,1.0,163
6,cycle,1.0,674
6,wheel,1.0,446
6,complete,1.0,294
7,cycle,1.0,851
7,wheel,1.0,340
7,complete,1.0,111
8,cycle,0.0,206
8,wheel,1.0,104
8,complete,1.0,190
9,cycle,0.0,46
9,wheel,1.0,205
9,complete,0.0,28
10,cycle,1.0,462
10,wheel,1.0,149
10,complete,1.0,115
5,cycle,1.0,310
5,wheel,1.0,272
5,complete,1.0,175
6,cycle,1.0,866
6,wheel,1.0,237
6,complete,1.0,288
7,cycle,1.0,1319
7,wheel,1.0,520
7,complete,1.0,72
8,cycle,1.0,572
8,wheel,1.0,317
8,complete,0.0,63
9,cycle,1.0,711
9,wheel,1.0,743
9,complete,1.0,192
10,cycle,1.0,926
10,wheel,1.0,481
10,complete,0.0,310
5,cycle,1.0,518
5,wheel,1.0,596
5,complete,1.0,119
6,cycle,0.0,89
6,wheel,1.0,297
6,complete,1.0,117
7,cycle,1.0,526
7,wheel,1.0,197
7,complete,1.0,237
8,cycle,1.0,429
8,wheel,1.0,362
8,complete,1.0,119
9,cycle,1.0,1171
9,wheel,1.0,591
9,complete,1.0,94
10,cycle,1.0,480
10,wheel,1.0,904
10,complete,0.0,48
5,cycle,1.0,490
5,wheel,1.0,104
5,complete,1.0,76
6,cycle,1.0,788
6,wheel,1.0,360
6,complete,1.0,356
7,cycle,1.0,197
7,wheel,1.0,851
7,complete,1.0,90
8,cycle,1.0,431
8,wheel,1.0,322
8,complete,1.0,343
9,cycle,1.0,511
9,wheel,0.0,344
9,complete,1.0,506
10,cycle,1.0,873
10,wheel,1.0,377
10,complete,1.0,46
5,cycle,1.0,663
5,wheel,1.0,218
5,complete,1.0,278
6,cycle,0.0,1
6,wheel,1.0,173
6,complete,1.0,339
7,cycle,1.0,1552
7,wheel,1.0,587
7,complete,1.0,160
8,cycle,1.0,341
8,wheel,1.0,976
8,complete,0.0,217
9,cycle,1.0,330
9,wheel,1.0,329
9,complete,1.0,37
10,cycle,1.0,631
10,wheel,0.0,369
10,complete,1.0,64
5,cycle,1.0,195
5,wheel,1.0,548
5,complete,1.0,104
6,cycle,1.0,609
6,wheel,1.0,374
6,complete,1.0,80
7,cycle,0.0,86
7,wheel,1.0,191
7,complete,1.0,52
8,cycle,1.0,408
8,wheel,1.0,243
8,complete,1.0,272
9,cycle,1.0,889
9,wheel,1.0,218
9,complete,0.0,141
10,cycle,1.0,1282
10,wheel,1.0,137
10,complete,1.0,69
5,cycle,0.0,1
5,wheel,1.0,418
5,complete,1.0,427
6,cycle,1.0,516
6,wheel,1.0,180
6,complete,1.0,130
7,cycle,1.0,567
7,wheel,1.0,258
7,complete,1.0,187
8,cycle,1.0,745
8,wheel,1.0,335
8,complete,1.0,171
9,cycle,1.0,832
9,wheel,1.0,359
9,complete,1.0,197
10,cycle,1.0,1231
10,wheel,1.0,901
10,complete,0.0,93
5,cycle,1.0,331
5,wheel,1.0,287
5,complete,1.0,92
6,cycle,1.0,331
6,wheel,1.0,249
6,complete,1.0,280
7,cycle,1.0,1359
7,wheel,1.0,120
7,complete,0.0,222
8,cycle,1.0,632
8,wheel,1.0,700
8,complete,1.0,133
9,cycle,1.0,755
9,wheel,1.0,569
9,complete,1.0,110
10,cycle,1.0,262
10,wheel,0.0,76
10,complete,1.0,81
5,cycle,1.0,301
5,wheel,1.0,282
5,complete,1.0,178
6,cycle,1.0,426
6,wheel,0.0,50
6,complete,1.0,89
7,cycle,1.0,848
7,wheel,1.0,283
7,complete,1.0,75
8,cycle,1.0,287
8,wheel,1.0,115
8,complete,1.0,109
9,cycle,1.0,789
9,wheel,1.0,179
9,complete,1.0,259
10,cycle,1.0,749
10,wheel,1.0,178
10,complete,1.0,68
5,cycle,1.0,272
5,wheel,1.0,61
5,complete,1.0,143
6,cycle,1.0,1265
6,wheel,1.0,160
6,complete,1.0,199
7,cycle,0.0,87
7,wheel,1.0,136
7,complete,1.0,153
8,cycle,1.0,1182
8,wheel,0.0,7
8,complete,0.0,82
9,cycle,1.0,864
9,wheel,1.0,317
9,complete,1.0,69
10,cycle,1.0,497
10,wheel,1.0,831
10,complete,0.0,5
5,cycle,1.0,420
5,wheel,1.0,443
5,complete,1.0,169
6,cycle,1.0,826
6,wheel,1.0,225
6,complete,0.0,101
7,cycle,1.0,783
7,wheel,1.0,377
7,complete,1.0,328
8,cycle,1.0,439
8,wheel,1.0,486
8,complete,1.0,100
9,cycle,1.0,1274
9,wheel,1.0,268
9,complete,1.0,368
10,cycle,1.0,1525
10,wheel,1.0,474
10,complete,1.0,127
5,cycle,1.0,464
5,wheel,1.0,275
5,complete,1.0,154
6,cycle,1.0,605
6,wheel,1.0,278
6,complete,1.0,115
7,cycle,1.0,519
7,wheel,1.0,671
7,complete,1.0,97
8,cycle,1.0,921
8,wheel,0.0,38
8,complete,1.0,86
9,cycle,1.0,793
9,wheel,1.0,238
9,complete,1.0,265
10,cycle,1.0,662
10,wheel,1.0,314
10,complete,1.0,224
5,cycle,1.0,155
5,wheel,1.0,549
5,complete,1.0,256
6,cycle,1.0,481
6,wheel,1.0,339
6,complete,1.0,264
7,cycle,1.0,466
7,wheel,1.0,73
7,complete,0.0,71
8,cycle,1.0,1907
8,wheel,1.0,396
8,complete,0.0,13
9,cycle,1.0,676
9,wheel,1.0,491
9,complete,1.0,163
10,cycle,1.0,322
10,wheel,1.0,961
10,complete,1.0,33
5,cycle,1.0,267
5,wheel,1.0,116
5,complete,1.0,260
6,cycle,1.0,521
6,wheel,1.0,272
6,complete,1.0,197
7,cycle,1.0,358
7,wheel,1.0,248
7,complete,1.0,73
8,cycle,1.0,386
8,wheel,0.0,6
8,complete,0.0,107
9,cycle,1.0,1185
9,wheel,1.0,197
9,complete,1.0,155
10,cycle,1.0,437
10,wheel,1.0,832
10,complete,1.0,83
5,cycle,1.0,346
5,wheel,1.0,765
5,complete,1.0,249
6,cycle,1.0,327
6,wheel,1.0,88
6,complete,1.0,160
7,cycle,1.0,658
7,wheel,1.0,1135
7,complete,1.0,93
8,cycle,1.0,1011
8,wheel,1.0,394
8,complete,1.0,169
9,cycle,1.0,352
9,wheel,1.0,212
9,complete,1.0,375
10,cycle,1.0,1673
10,wheel,1.0,438
10,complete,1.0,73
5,cycle,1.0,528
5,wheel,1.0,196
5,complete,1.0,192
6,cycle,1.0,224
6,wheel,1.0,555
6,complete,1.0,395
7,cycle,1.0,1421
7,wheel,1.0,212
7,complete,0.0,14
8,cycle,1.0,1494
8,wheel,1.0,108
8,complete,0.0,121
9,cycle,1.0,557
9,wheel,0.0,53
9,complete,1.0,142
10,cycle,1.0,834
10,wheel,1.0,513
10,complete,1.0,64
5,cycle,1.0,411
5,wheel,1.0,125
5,complete,1.0,109
6,cycle,1.0,304
6,wheel,1.0,1222
6,complete,1.0,1268
7,cycle,1.0,425
7,wheel,1.0,242
7,complete,1.0,67
8,cycle,1.0,1253
8,wheel,1.0,486
8,complete,0.0,46
9,cycle,1.0,588
9,wheel,1.0,187
9,complete,1.0,64
10,cycle,0.0,153
10,wheel,1.0,453
10,complete,1.0,102
5,cycle,1.0,372
5,wheel,1.0,157
5,complete,1.0,143
6,cycle,1.0,792
6,wheel,1.0,186
6,complete,1.0,421
7,cycle,1.0,510
7,wheel,1.0,664
7,complete,1.0,77
8,cycle,1.0,1020
8,wheel,1.0,266
8,complete,0.0,22
9,cycle,1.0,482
9,wheel,1.0,476
9,complete,1.0,65
10,cycle,1.0,368
10,wheel,1.0,362
10,complete,1.0,133
5,cycle,1.0,397
5,wheel,1.0,104
5,complete,1.0,130
6,cycle,1.0,356
6,wheel,1.0,257
6,complete,1.0,162
7,cycle,1.0,626
7,wheel,1.0,414
7,complete,0.0,78
8,cycle,1.0,153
8,wheel,1.0,235
8,complete,1.0,142
9,cycle,1.0,1168
9,wheel,1.0,468
9,complete,1.0,242
10,cycle,1.0,1318
10,wheel,1.0,215
10,complete,1.0,212
5,cycle,1.0,504
5,wheel,1.0,350
5,complete,1.0,84
6,cycle,1.0,666
6,wheel,1.0,109
6,complete,1.0,64
7,cycle,1.0,1443
7,wheel,1.0,188
7,complete,1.0,176
8,cycle,1.0,1310
8,wheel,1.0,521
8,complete,1.0,199
9,cycle,1.0,290
9,wheel,1.0,454
9,complete,1.0,47
10,cycle,1.0,456
10,wheel,1.0,297
10,complete,1.0,59
5,cycle,1.0,188
5,wheel,1.0,207
5,complete,1.0,124
6,cycle,1.0,667
6,wheel,1.0,86
6,complete,1.0,218
7,cycle,1.0,364
7,wheel,1.0,142
7,complete,1.0,166
8,cycle,1.0,391
8,wheel,1.0,216
8,complete,0.0,29
9,cycle,1.0,893
9,wheel,1.0,719
9,complete,1.0,146
10,cycle,1.0,853
10,wheel,1.0,385
10,complete,1.0,48
5,cycle,1.0,167
5,wheel,1.0,289
5,complete,0.0,1
6,cycle,1.0,593
6,wheel,1.0,580
6,complete,1.0,292
7,cycle,1.0,240
7,wheel,1.0,243
7,complete,0.0,5
8,cycle,1.0,158
8,wheel,0.0,118
8,complete,1.0,151
9,cycle,1.0,859
9,wheel,1.0,501
9,complete,1.0,149
10,cycle,1.0,669
10,wheel,1.0,731
10,complete,1.0,143
5,cycle,1.0,518
5,wheel,1.0,315
5,complete,0.0,36
6,cycle,1.0,363
6,wheel,1.0,128
6,complete,1.0,127
7,cycle,1.0,271
7,wheel,1.0,442
7,complete,1.0,176
8,cycle,1.0,1565
8,wheel,1.0,306
8,complete,1.0,59
9,cycle,1.0,474
9,wheel,1.0,111
9,complete,1.0,68
10,cycle,1.0,324
10,wheel,1.0,320
10,complete,1.0,93
5,cycle,1.0,508
5,wheel,1.0,128
5,complete,1.0,119
6,cycle,1.0,559
6,wheel,1.0,681
6,complete,0.0,103
7,cycle,0.0,267
7,wheel,0.0,28
7,complete,1.0,85
8,cycle,1.0,358
8,wheel,0.0,18
8,complete,1.0,164
9,cycle,1.0,413
9,wheel,1.0,242
9,complete,1.0,264
10,cycle,1.0,2087
10,wheel,0.0,399
10,complete,1.0,129
5,cycle,1.0,171
5,wheel,1.0,83
5,complete,1.0,157
6,cycle,0.0,11
6,wheel,1.0,225
6,complete,1.0,139
7,cycle,1.0,858
7,wheel,1.0,117
7,complete,1.0,232
8,cycle,1.0,1231
8,wheel,1.0,385
8,complete,1.0,225
9,cycle,1.0,907
9,wheel,1.0,476
9,complete,1.0,122
10,cycle,1.0,1284
10,wheel,1.0,163
10,complete,1.0,254
5,cycle,1.0,467
5,wheel,1.0,160
5,complete,1.0,226
6,cycle,1.0,388
6,wheel,0.0,117
6,complete,1.0,444
7,cycle,1.0,658
7,wheel,1.0,227
7,complete,0.0,50
8,cycle,1.0,1082
8,wheel,1.0,485
8,complete,1.0,171
9,cycle,1.0,656
9,wheel,1.0,157
9,complete,1.0,40
10,cycle,1.0,670
10,wheel,1.0,749
10,complete,1.0,58
5,cycle,1.0,407
5,wheel,0.0,8
5,complete,1.0,49
6,cycle,1.0,121
6,wheel,1.0,258
6,complete,1.0,402
7,cycle,1.0,796
7,wheel,1.0,240
7,complete,1.0,68
8,cycle,1.0,957
8,wheel,1.0,229
8,complete,0.0,10
9,cycle,1.0,1115
9,wheel,1.0,352
9,complete,1.0,536
10,cycle,1.0,270
10,wheel,1.0,266
10,complete,1.0,96
5,cycle,1.0,269
5,wheel,1.0,391
5,complete,0.0,2
6,cycle,1.0,213
6,wheel,1.0,405
6,complete,0.0,621
7,cycle,1.0,1099
7,wheel,1.0,513
7,complete,1.0,386
8,cycle,1.0,1339
8,wheel,1.0,738
8,complete,1.0,97
9,cycle,1.0,666
9,wheel,1.0,242
9,complete,1.0,51
10,cycle,1.0,407
10,wheel,0.0,131
10,complete,1.0,314
5,cycle,1.0,716
5,wheel,1.0,209
5,complete,1.0,127
6,cycle,1.0,715
6,wheel,1.0,167
6,complete,1.0,89
7,cycle,1.0,1278
7,wheel,1.0,495
7,complete,1.0,176
8,cycle,1.0,1842
8,wheel,1.0,323
8,complete,1.0,246
9,cycle,1.0,970
9,wheel,1.0,331
9,complete,1.0,206
10,cycle,1.0,518
10,wheel,1.0,507
10,complete,1.0,47
5,cycle,1.0,211
5,wheel,1.0,466
5,complete,1.0,515
6,cycle,1.0,964
6,wheel,0.0,81
6,complete,1.0,132
7,cycle,1.0,581
7,wheel,1.0,166
7,complete,1.0,51
8,cycle,1.0,544
8,wheel,1.0,210
8,complete,1.0,164
9,cycle,1.0,732
9,wheel,1.0,159
9,complete,1.0,77
10,cycle,1.0,489
10,wheel,1.0,371
10,complete,1.0,111
5,cycle,1.0,154
5,wheel,0.0,2
