n_agents,shape,conclusion,steps
5,wheel,0.0,2
5,complete,0.0,33
6,cycle,1.0,1037
6,wheel,0.0,9
6,complete,1.0,68
7,cycle,1.0,156
7,wheel,1.0,226
7,complete,1.0,245
8,cycle,1.0,480
8,wheel,1.0,496
8,complete,1.0,65
9,cycle,1.0,309
9,wheel,1.0,264
9,complete,1.0,267
10,cycle,1.0,1731
10,wheel,1.0,365
10,complete,1.0,287
5,cycle,1.0,231
5,wheel,0.0,17
5,complete,1.0,192
6,cycle,1.0,1633
6,wheel,1.0,304
6,complete,1.0,201
7,cycle,1.0,313
7,wheel,0.0,107
7,complete,1.0,89
8,cycle,1.0,612
8,wheel,0.0,50
8,complete,1.0,44
9,cycle,1.0,883
9,wheel,1.0,256
9,complete,1.0,59
10,cycle,1.0,1036
10,wheel,1.0,954
10,complete,1.0,291
5,cycle,1.0,617
5,wheel,1.0,95
5,complete,1.0,136
6,cycle,0.0,77
6,wheel,1.0,218
6,complete,1.0,127
7,cycle,1.0,1237
7,wheel,1.0,366
7,complete,1.0,83
8,cycle,1.0,477
8,wheel,1.0,182
8,complete,1.0,214
9,cycle,1.0,1315
9,wheel,1.0,332
9,complete,1.0,138
10,cycle,1.0,653
10,wheel,1.0,965
10,complete,1.0,198
5,cycle,1.0,382
5,wheel,1.0,26
5,complete,0.0,50
6,cycle,1.0,431
6,wheel,1.0,145
6,complete,0.0,57
7,cycle,1.0,798
7,wheel,1.0,449
7,complete,1.0,103
8,cycle,1.0,757
8,wheel,1.0,962
8,complete,1.0,109
9,cycle,1.0,989
9,wheel,1.0,442
9,complete,1.0,219
10,cycle,1.0,736
10,wheel,1.0,247
10,complete,1.0,73
5,cycle,1.0,405
5,wheel,1.0,369
5,complete,1.0,163
6,cycle,1.0,729
6,wheel,0.0,39
6,complete,1.0,244
7,cycle,1.0,214
7,wheel,1.0,211
7,complete,0.0,97
8,cycle,1.0,292
8,wheel,1.0,665
8,complete,1.0,96
9,cycle,1.0,761
9,wheel,1.0,291
9,complete,1.0,80
10,cycle,0.0,67
10,wheel,1.0,538
10,complete,1.0,35
5,cycle,1.0,535
5,wheel,1.0,409
5,complete,1.0,132
6,cycle,1.0,425
6,wheel,1.0,82
6,complete,1.0,256
7,cycle,1.0,993
7,wheel,1.0,138
7,complete,1.0,114
8,cycle,1.0,696
8,wheel,1.0,510
8,complete,0.0,84
9,cycle,1.0,273
9,wheel,0.0,60
9,complete,1.0,188
10,cycle,1.0,1024
10,wheel,1.0,581
10,complete,1.0,129
5,cycle,1.0,294
5,wheel,1.0,83
5,complete,1.0,221
6,cycle,1.0,383
6,wheel,1.0,634
6,complete,0.0,58
7,cycle,1.0,1420
7,wheel,1.0,152
7,complete,1.0,157
8,cycle,1.0,865
8,wheel,1.0,653
8,complete,1.0,129
9,cycle,1.0,200
9,wheel,1.0,349
9,complete,1.0,194
10,cycle,1.0,561
10,wheel,1.0,356
10,complete,0.0,67
5,cycle,0.0,25
5,wheel,1.0,936
5,complete,1.0,64
6,cycle,1.0,476
6,wheel,0.0,16
6,complete,1.0,234
7,cycle,1.0,1604
7,wheel,1.0,724
7,complete,1.0,205
8,cycle,1.0,1668
8,wheel,1.0,555
8,complete,1.0,38
9,cycle,1.0,340
9,wheel,1.0,93
9,complete,1.0,145
10,cycle,1.0,442
10,wheel,1.0,190
10,complete,1.0,220
5,cycle,1.0,716
